epoch,epoch_index_zero_based,timestamp,img_size,batch_size,max_train_samples,max_val_samples,train_dataset_size,val_dataset_size,device,lr_before_scheduler,lr_after_scheduler,epoch_elapsed_sec,checkpoint_path,phase,loss,silog_loss,l1_loss,gradient_loss,abs_rel,rmse,si_rmse,avg_grad_norm,valid_pixel_fraction,n_batches,n_samples,skipped_batches,elapsed_sec,samples_per_sec
27,26,2026-05-06 17:17:56,320,12,19600,3000,19600,3000,cuda,0.0009999052868554339,0.0009999061520187503,242.37649965286255,/content/model_checkpoint.pt,val,0.4048190242648125,0.3969935813546181,0.03364748405665159,0.05556641103699803,4.222269453525543,0.07109385875239968,0.6198432197570801,nan,0.5351132389322917,250,3000,0,26.630327463150024,112.65351521310728
28,27,2026-05-06 17:21:59,320,12,19600,3000,19600,3000,cuda,0.0009999061520187503,0.0009999057537672378,242.269540309906,/content/model_checkpoint.pt,train,0.36627240385062254,0.3581670471712163,0.03496488144893696,0.05721247640000645,3.6425441005238706,0.07434398726066586,0.5909390479982848,0.6323851054874016,0.5361123963647959,1634,19600,0,215.5181803703308,90.9436037661453
28,27,2026-05-06 17:21:59,320,12,19600,3000,19600,3000,cuda,0.0009999061520187503,0.0009999057537672378,242.269540309906,/content/model_checkpoint.pt,val,0.40687574428319934,0.39890662145614625,0.03467263807728887,0.0553645322099328,4.283375580787658,0.07402078324183822,0.6211570465564727,nan,0.5351132389322917,250,3000,0,26.749876022338867,112.15005248976462
29,28,2026-05-06 17:26:02,320,12,19600,3000,19600,3000,cuda,0.0009999057537672378,0.0009999079067281671,242.27721786499023,/content/model_checkpoint.pt,train,0.3592296442247225,0.3512450986093815,0.03422113320011659,0.05702750058730693,3.6214331664245307,0.0729155328296891,0.5853663378166014,0.6152191899370315,0.5361123963647959,1634,19600,0,215.69617557525635,90.86855595713409
29,28,2026-05-06 17:26:02,320,12,19600,3000,19600,3000,cuda,0.0009999057537672378,0.0009999079067281671,242.27721786499023,/content/model_checkpoint.pt,val,0.39553210759162905,0.3877977505326271,0.03323769846372306,0.054974041063338516,4.000569618701935,0.07128081095591188,0.6140209800004959,nan,0.5351132389322917,250,3000,0,26.57922101020813,112.8701250818377
30,29,2026-05-06 17:30:05,320,12,19600,3000,19600,3000,cuda,0.0009999079067281671,0.0009999066487796564,242.7156777381897,/content/model_checkpoint.pt,train,0.35493228308209007,0.3470334088660074,0.0336457865094399,0.05704012117662092,3.5760855210017106,0.07198745512883459,0.5820953346962152,0.5904355006773513,0.5361123963647959,1634,19600,0,215.71978974342346,90.85860886158005
30,29,2026-05-06 17:30:05,320,12,19600,3000,19600,3000,cuda,0.0009999079067281671,0.0009999066487796564,242.7156777381897,/content/model_checkpoint.pt,val,0.40437861424684524,0.3964364395737648,0.03457983435504138,0.05510398367792368,4.253516952514649,0.07410268252715468,0.6182004985809326,nan,0.5351132389322917,250,3000,0,26.994314432144165,111.13451343767686
31,30,2026-05-06 17:34:07,320,12,19600,3000,19600,3000,cuda,0.0009999066487796564,0.0009999094740772729,241.89404940605164,/content/model_checkpoint.pt,train,0.34965927189391566,0.3417934828062828,0.03344070289148339,0.05699366450964073,3.5534832700813417,0.07213048783280275,0.5780769014956756,0.5621405005856273,0.5361123963647959,1634,19600,0,215.3660111427307,91.0078609712021
31,30,2026-05-06 17:34:07,320,12,19600,3000,19600,3000,cuda,0.0009999066487796564,0.0009999094740772729,241.89404940605164,/content/model_checkpoint.pt,val,0.392843010365963,0.3848358734846115,0.03525743524730206,0.054370408952236174,3.4970069398880006,0.07335325497016311,0.6087733393907547,nan,0.5351132389322917,250,3000,0,26.526336908340454,113.09514805478985
32,31,2026-05-06 17:38:10,320,12,19600,3000,19600,3000,cuda,0.0009999094740772729,0.0009999090721745918,242.40342235565186,/content/model_checkpoint.pt,train,0.3460275390193395,0.3382106420642159,0.03317272471038299,0.05681976159371098,3.5377080704620156,0.07158987624502332,0.5751766144426829,0.5352891005046729,0.5361123963647959,1634,19600,0,215.70046472549438,90.8667490584382
