epoch,epoch_index_zero_based,timestamp,img_size,batch_size,max_train_samples,max_val_samples,train_dataset_size,val_dataset_size,device,lr,epoch_elapsed_sec,checkpoint_path,phase,loss,abs_rel,rmse,si_rmse,valid_pixel_fraction,n_batches,n_samples,elapsed_sec,samples_per_sec
16,15,2026-05-24 23:00:50,128,8,3000,500,3000,500,cuda,0.001,50.34070324897766,/content/model_checkpoint.pt,train,1.2031343812942505,5.716887195905049,0.15728384287655353,1.0401283667882284,0.539487060546875,375,3000,43.4273726940155,69.08085416858327
16,15,2026-05-24 23:00:50,128,8,3000,500,3000,500,cuda,0.001,50.34070324897766,/content/model_checkpoint.pt,val,1.3110780427380213,5.2752420296744695,0.18455195763990992,1.079147441992684,0.5110517578125,63,500,6.91291069984436,72.32843323308909
17,16,2026-05-24 23:01:41,128,8,3000,500,3000,500,cuda,0.001,50.527374505996704,/content/model_checkpoint.pt,train,1.1819935366312664,5.833475900967916,0.15347220348815124,1.0265654203097025,0.539487060546875,375,3000,43.55406904220581,68.87990183174087
17,16,2026-05-24 23:01:41,128,8,3000,500,3000,500,cuda,0.001,50.527374505996704,/content/model_checkpoint.pt,val,1.1858513345794073,6.737889429879567,0.16047414817980357,1.0409931455339705,0.5110517578125,63,500,6.972890377044678,71.7062757283609
18,17,2026-05-24 23:02:31,128,8,3000,500,3000,500,cuda,0.001,50.48103189468384,/content/model_checkpoint.pt,train,1.1804875153700511,5.739752572059631,0.1538871213098367,1.0327237157821656,0.539487060546875,375,3000,43.49128437042236,68.9793378932779
18,17,2026-05-24 23:02:31,128,8,3000,500,3000,500,cuda,0.001,50.48103189468384,/content/model_checkpoint.pt,val,1.188373182028059,5.508820420219784,0.17041671151916185,1.0357478819196186,0.5110517578125,63,500,6.989325046539307,71.53766589344274
19,18,2026-05-24 23:03:22,128,8,3000,500,3000,500,cuda,0.001,50.48651146888733,/content/model_checkpoint.pt,train,1.163948399066925,5.815532814025879,0.15184192064901192,1.0152765452067056,0.539487060546875,375,3000,43.57011151313782,68.85454032164691
19,18,2026-05-24 23:03:22,128,8,3000,500,3000,500,cuda,0.001,50.48651146888733,/content/model_checkpoint.pt,val,1.1403132431090823,6.569772646540687,0.16162947201657862,1.0166792831723652,0.5110517578125,63,500,6.915981769561768,72.29631549935138
20,19,2026-05-24 23:04:12,128,8,3000,500,3000,500,cuda,0.001,50.58033752441406,/content/model_checkpoint.pt,train,1.1493556932608286,5.876627151171366,0.15087989400327206,1.0105217804908753,0.539487060546875,375,3000,43.652302980422974,68.72489640112296
20,19,2026-05-24 23:04:12,128,8,3000,500,3000,500,cuda,0.001,50.58033752441406,/content/model_checkpoint.pt,val,1.1153888182034568,6.702663060218569,0.14848068043116538,1.0086780654059515,0.5110517578125,63,500,6.927614212036133,72.17491977704144
21,20,2026-05-24 23:05:03,128,8,3000,500,3000,500,cuda,0.001,50.5460262298584,/content/model_checkpoint.pt,train,1.1087893398602804,5.8432722458839415,0.14694078545272352,1.0005592567125956,0.539487060546875,375,3000,43.593159914016724,68.81813582491402
21,20,2026-05-24 23:05:03,128,8,3000,500,3000,500,cuda,0.001,50.5460262298584,/content/model_checkpoint.pt,val,1.1127986387600974,6.131420315258087,0.14836966819942943,1.0078564920122661,0.5110517578125,63,500,6.952330827713013,71.91832672963814
22,21,2026-05-24 23:05:53,128,8,3000,500,3000,500,cuda,0.001,50.59658145904541,/content/model_checkpoint.pt,train,1.121282689968745,5.807193364461263,0.14458413657546043,1.0065101051330567,0.539487060546875,375,3000,43.71778154373169,68.62196328510049
22,21,2026-05-24 23:05:53,128,8,3000,500,3000,500,cuda,0.001,50.59658145904541,/content/model_checkpoint.pt,val,1.1298571058682032,5.474661187520103,0.15583589844523915,1.010648821081434,0.5110517578125,63,500,6.878368854522705,72.69165271229052
23,22,2026-05-24 23:06:44,128,8,3000,500,3000,500,cuda,0.001,50.45980882644653,/content/model_checkpoint.pt,train,1.100848435163498,5.939612899144491,0.1454418128778537,0.9928572818438212,0.539487060546875,375,3000,43.58653378486633,68.82859772257525
23,22,2026-05-24 23:06:44,128,8,3000,500,3000,500,cuda,0.001,50.45980882644653,/content/model_checkpoint.pt,val,1.315801059442853,6.068652431170146,0.18094449440046909,1.0854119185417417,0.5110517578125,63,500,6.872737407684326,72.75121546779249
24,23,2026-05-24 23:07:34,128,8,3000,500,3000,500,cuda,0.001,50.503634214401245,/content/model_checkpoint.pt,train,1.0847737873395285,5.886415944099427,0.14343196458617846,0.98412842019399,0.539487060546875,375,3000,43.667876958847046,68.70038593420111
24,23,2026-05-24 23:07:34,128,8,3000,500,3000,500,cuda,0.001,50.503634214401245,/content/model_checkpoint.pt,val,1.1213101962256053,4.921134148325239,0.15253269202297642,0.994549552599589,0.5110517578125,63,500,6.835350275039673,73.14914084590902
25,24,2026-05-24 23:08:25,128,8,3000,500,3000,500,cuda,0.001,50.37409782409668,/content/model_checkpoint.pt,train,1.0799947854677836,5.683116100629171,0.1399505749096473,0.9824298575719198,0.539487060546875,375,3000,43.52267050743103,68.92959381910589
25,24,2026-05-24 23:08:25,128,8,3000,500,3000,500,cuda,0.001,50.37409782409668,/content/model_checkpoint.pt,val,1.0587037787550972,6.870028543093848,0.14107178899622153,0.9846751434462411,0.5110517578125,63,500,6.850985288619995,72.982203133692
26,25,2026-05-24 23:09:15,128,8,3000,500,3000,500,cuda,0.001,50.35394096374512,/content/model_checkpoint.pt,train,1.0764935564994813,5.867628330389659,0.14209347517291704,0.9842224699656169,0.539487060546875,375,3000,43.55038380622864,68.88573045298709
26,25,2026-05-24 23:09:15,128,8,3000,500,3000,500,cuda,0.001,50.35394096374512,/content/model_checkpoint.pt,val,1.1097823386154477,6.524880155684456,0.1492465545260717,1.0070909838827828,0.5110517578125,63,500,6.80315089225769,73.4953564779849
27,26,2026-05-24 23:10:06,128,8,3000,500,3000,500,cuda,0.001,50.75726079940796,/content/model_checkpoint.pt,train,1.0644033646583557,5.740549478530884,0.1406540800879399,0.9781608440081279,0.539487060546875,375,3000,43.857057094573975,68.40404255877812
27,26,2026-05-24 23:10:06,128,8,3000,500,3000,500,cuda,0.001,50.75726079940796,/content/model_checkpoint.pt,val,1.1608495830543457,4.46117039994588,0.16491989220773418,1.0002291798591614,0.5110517578125,63,500,6.8997719287872314,72.4661633979378
28,27,2026-05-24 23:10:56,128,8,3000,500,3000,500,cuda,0.001,50.52108359336853,/content/model_checkpoint.pt,train,1.0553664781252543,5.722124475479126,0.13855799586574236,0.9751403878529866,0.539487060546875,375,3000,43.62617874145508,68.76605026030616
28,27,2026-05-24 23:10:56,128,8,3000,500,3000,500,cuda,0.001,50.52108359336853,/content/model_checkpoint.pt,val,1.0618590220572457,7.5903062669057695,0.13914381621021127,0.9786182490606157,0.5110517578125,63,500,6.894482851028442,72.52175555493848
29,28,2026-05-24 23:11:47,128,8,3000,500,3000,500,cuda,0.001,50.498589277267456,/content/model_checkpoint.pt,train,1.0469710138638815,5.7593508157730104,0.13904489730795225,0.9752908724149069,0.539487060546875,375,3000,43.59563374519348,68.8142307446272
29,28,2026-05-24 23:11:47,128,8,3000,500,3000,500,cuda,0.001,50.498589277267456,/content/model_checkpoint.pt,val,1.1120645015958757,4.441849792760516,0.1536100214672467,0.9819137728403485,0.5110517578125,63,500,6.90253210067749,72.43718576128383
30,29,2026-05-24 23:12:37,128,8,3000,500,3000,500,cuda,0.001,50.39079189300537,/content/model_checkpoint.pt,train,1.0284683984915415,5.656680959383647,0.13535350199540455,0.962116417725881,0.539487060546875,375,3000,43.420374631881714,69.09198793041341
30,29,2026-05-24 23:12:37,128,8,3000,500,3000,500,cuda,0.001,50.39079189300537,/content/model_checkpoint.pt,val,1.0578300702193426,7.048982349653093,0.14158370289655905,0.9766517877578735,0.5110517578125,63,500,6.970016717910767,71.7358394155865
31,30,2026-05-24 23:13:28,128,8,3000,500,3000,500,cuda,0.001,50.499199628829956,/content/model_checkpoint.pt,train,1.0196831342379251,5.733745705922445,0.13732999064524967,0.9579239950180054,0.539487060546875,375,3000,43.53746438026428,68.90617179258406
